skillId,skillName,cd,description
baize_a,白泽图,3,为敌方全体附加「弱点」持续 3 回合：受到的暴击伤害 +25%，且我方对其造成的伤害无视 20% 抗性。
baize_b,直言,0,对单体造成 70% 攻击的伤害，并揭露其 1 个未揭示的技能（若已全揭示，改为造成 130% 攻击的伤害）。
baize_u,万鬼录,6,将敌方全体的一个增益转化为减益（例如攻击 +20% 变为 -20%），持续 3 回合；同时我方全体获得「尽知」——暴击率 +25%、暴击伤害 +40%，持续 3 回合。
bashe_a,吞象,3,对单体造成 130% 攻击的伤害；若此技能造成击杀，则永久吞下目标的一个技能特性（随机获得该目标 1 个被动效果的 50% 强度，本局内保留）。
bashe_b,缠,0,对单体造成 90% 攻击的伤害，并使其「缚」（速度 -15%，持续 2 回合）；若目标已被减速，则改为造成 140% 攻击的伤害。
bashe_u,出其骨,6,对单体造成 350% 攻击的伤害并免疫目标 30% 的减伤；若击杀，回复自身 40% 最大生命并获得一次额外行动机会。
bifang_a,赤文青质,3,为敌方全体施加 2 层灼烧；我方全体获得「引信」持续 2 回合——受到攻击时，对攻击者施加 2 层灼烧。
bifang_b,单足立,0,对单体造成 95% 攻击的伤害，并施加 1 层灼烧。
bifang_u,讹火漫天,6,引爆场上所有灼烧层数（每层 12% 攻击的真实伤害），随后重置全场灼烧层数为 3 层，并使敌方每回合开始时自动增加 1 层灼烧，持续 3 回合。
chongming_a,重明,3,清除我方全体身上的所有减益（含灼烧、冰蚀、诅咒），并为每个被清除的减益使该单位获得 1 层「明目」（暴击率 +5%，可叠 5 层）。
chongming_b,凤鸣,0,对单体造成 80% 攻击的伤害；若该目标为「暗」状态，伤害翻倍并驱散其全部增益。
chongming_u,照门,6,在阵前展开「重明之照」持续 3 回合：我方全员攻击 +20%、暴击率 +20%、免疫所有减益；期间每次我方暴击都会对敌方全体造成 30% 攻击的额外伤害。
dangkang_a,豚牙,3,我方全体获得「丰穰」持续 3 回合：每回合回复 9% 最大生命，并将「穰」层数翻倍（上限仍为 6 层）。
dangkang_b,呼名,0,对单体造成 65% 攻击的伤害，并为生命最低的队友回复 70% 攻击的生命。
dangkang_u,天下大穰,6,将本场战斗我方累计承受伤害的 40% 一次性转化为全员回复；随后进入「丰年」状态 3 回合：我方全体每回合回复 15% 最大生命，并将所有溢出治疗转化为护盾（不设上限）。
dijiang_a,浑敦,3,对敌方全体施加「无相」持续 2 回合：期间敌方命中率 -25%，且每次行动有 30% 概率改为攻击自己的队友。
dijiang_b,舞,0,对单体造成 70% 攻击的伤害；随机为我方一名单位附加「识歌」（下次技能 CD -1）。
dijiang_u,帝江之舞,6,全场进入「歌舞」状态持续 3 回合：我方每次行动结束都会进行判定——40% 概率使敌方全体 CD +1，40% 概率使我方全体 CD -1，20% 概率同时发生。期间我方全体免疫控制，敌方全体每回合损失 8% 最大生命。
feiyi_a,六足四翼,3,对敌方全体各造成 90% 攻击的伤害，每次命中使其「干燥」（受火属性伤害 +12%，可叠 3 层）；若场上存在水属性敌人，该技能伤害提升 50%。
feiyi_b,噬啮,0,对单体造成 100% 攻击的伤害；若目标为水属性，改为造成 150% 攻击的伤害并驱散其 1 个护盾。
feiyi_u,赤地千里,7,开启「大旱」持续 3 回合：全场禁止治疗与回复，所有护盾效果减半；每回合结束对所有敌人造成其已损失生命 20% 的真实伤害（斩杀性质，对残血目标收益极高）。
fuzhu_a,信使,3,对敌方全体造成 100% 攻击的伤害并各施加 2 层「湿」；同时为我方全体附加「涉水」2 回合：免疫减速与冻结，且受到的水属性伤害转为回复。
fuzhu_b,四角,0,对单体造成 85% 攻击的伤害并施加 1 层「湿」；若目标「湿」已达上限，改为使其「溺」（每回合受 60% 攻击的真实伤害，持续 2 回合）。
fuzhu_u,大水漫灌,6,"在战场铺开洪水持续 3 回合：敌方全体速度 -30%、无法获得护盾；每回合结束对敌方全体造成（80% + 湿层数 ×20%）攻击的伤害；
我方在此期间每回合回复 10% 最大生命。"
guanguan_a,醒神啼,3,清除我方全体所有控制类减益（混乱、沉默、冻结、眩晕），并为每个被清除的单位附加 1 层「清明」（免疫下次控制）。
guanguan_b,呵声,0,对单体造成 80% 攻击的伤害，并驱散其身上的 1 个增益。
guanguan_u,青丘一鸣,6,对全场敌方施加「惑解」：3 回合内，敌方所有幻术、混乱、隐身类效果完全失效；我方全体获得 25% 减伤。若场上有敌方处于混乱状态，改为对其造成 200% 攻击的真实伤害。
hanba_a,不雨,3,对敌方全体施加「旱」持续 3 回合：期间受到的所有治疗量降低 60%，并在每回合结束造成 60% 攻击的灼烧伤害。
hanba_b,青衣,0,对单体造成 85% 攻击的伤害，并为其施加「断水」（下次受到的治疗效果减半）。
hanba_u,魃之祝,6,对敌方全体施加「绝水」持续 2 回合（完全无法被治疗与获得护盾），同时我方全体获得等量于敌方治疗量 100% 的护盾。
houtu_a,厚德载物,3,嘲讽敌方全体持续 2 回合；期间自身受到的伤害降低 40%，并将减免量的 100% 转化为对相邻队友的护盾。
houtu_b,社石,0,对单体造成 75% 攻击的伤害；同时为自身附加相当于 8% 最大生命的护盾（可叠加至 40%）。
houtu_u,句龙·社稷,7,召唤社稷之柱持续 3 回合：我方全体免疫位移与「放逐」；每回合结束时，全员按自身最大生命的 12% 回复，并将本回合承受伤害的 30% 反弹给敌方全体。若我方有单位在此效果期间阵亡，则立刻以 60% 生命复活并永久获得 20% 减伤。
hundun_a,不闻不见,3,对敌方全体造成 90% 攻击的伤害，并随机施加 2 种减益：沉默 / 混乱 / 命中下降 / 减速，持续 2 回合。
hundun_b,径过,0,对全场随机 3 个单位（含我方）各造成 70% 攻击的伤害；对敌方单位伤害翻倍。
hundun_u,混元无别,6,清除场上所有的属性克制关系持续 3 回合——期间所有五行加成、相克系数一律按 1.0 计算；同时每回合对全场敌方造成 110% 攻击的伤害，无视一切护盾与减伤。
jiuweihu_a,九尾乱,4,对随机敌人发动 3 次 80% 攻击的伤害，每次命中使其「易伤」（受伤害 +8%，可叠 5 层）。若自身「尾」达到 6 层以上，攻击次数翻倍。
jiuweihu_b,狐媚,0,对单体造成 90% 攻击的伤害，并按「尾」层数额外附加若干段 12% 攻击的伤害。
jiuweihu_u,青丘幻界,7,将全场敌方拖入幻境持续 2 回合：敌方每回合有 50% 概率攻击自己的队友（视为混乱）；同时自身获得 3 层「尾」，并在幻境期间免疫一切单体伤害。
jumang_a,青阳律,3,为全队施加「青阳」持续 3 回合：每回合回复 8% 最大生命，受木属性伤害降低 20%，并使相邻格中与自身五行相生的队友额外获得 1 层「同气」。
jumang_b,句芒·拂枝,0,对单体造成 100% 攻击的伤害；同时为生命最低的队友附加相当于 60% 攻击的护盾。
jumang_u,东风解冻,6,复活全部阵亡队友（各 50% 生命）并使他们立刻获得一次行动机会；本回合内我方木、火属性单位伤害 +30%（木火通明），并清除全场冰蚀层数。
lushu_a,纹虎之敷,3,为全队施加「虎纹」持续 3 回合：受到的伤害降低 12%，且每回合结束时回复 6% 最大生命。
lushu_b,谣歌,0,对单体造成 60% 攻击的伤害，并为生命最低的队友回复 60% 攻击的生命。
lushu_u,宜子孙,6,将自身当前 50% 生命转化为一个护盾，平均分给全队（每人不低于 15% 最大生命）；护盾存在期间，我方全体免疫「禁疗」。
luwu_a,九部之守,3,为前排单位附加「界」持续 3 回合：减免 30% 伤害；同时将后排单位受到伤害的 40% 转移到前排（转移后仍计算前排减伤）。
luwu_b,虎爪,0,对单体造成 80% 攻击的伤害，并使其「退却」（下一回合速度 -20%）。
luwu_u,昆仑不开,6,封锁全场位移与换位 3 回合；期间自身获得「帝囿」——每承受一次攻击，永久获得 +5% 减伤（单场上限 +50%），并将反击伤害按 150% 攻击结算给攻击者。
migu_a,四照华,3,展开光域持续 3 回合：我方全体受到的伤害降低 15%，且攻击方每次命中都要额外承受 1 层「迷」。
migu_b,枝击,0,对单体造成 70% 攻击的伤害，并为自身附加相当于 5% 最大生命的护盾（可叠加）。
migu_u,黑理不迷,6,为全队施加「不迷」持续 3 回合：免疫所有位移与控制，并且每次受到伤害时反弹 20% 给攻击者（真实伤害，无视护盾），自身获得 30% 最大生命的护盾。
qiongqi_a,獆吠,3,对敌方全体造成 110% 攻击的伤害，并剥离每个目标 1 个增益；每成功剥离 1 个，为其附加「穷」（减益效果无效化，持续 2 回合）。
qiongqi_b,猬刺,0,对单体造成 100% 攻击的伤害；自身每损失 10% 生命，此伤害 +8%（残血时爆发）。
qiongqi_u,四凶·穷奇,7,剥离敌方全体所有增益并转化为自身攻击力（每个增益 +15% 攻击，持续 3 回合）；随后对生命值最高的敌人造成 500% 攻击的伤害——目标生命越高，伤害越高（每 10% 生命差 +30%）。
qiuyu_a,蜷缩,3,进入防御姿态持续 2 回合：免疫 50% 伤害并反弹 25%；期间被攻击 3 次以上时，自动对攻击者施加「蚀」。
qiuyu_b,鸟喙,0,对单体造成 75% 攻击的伤害，并使其「蚀」（每回合损失 3% 最大生命，持续 2 回合）。
qiuyu_u,螽蝗为败,6,对敌方全体施加「蚀」并使其「蝗败」（无法获得增益，且已有效果延长 -1 回合）；同时自身获得 40% 最大生命的护盾，并将护盾期间承受伤害的 50% 返还给敌方全体。
rushou_a,刑天,3,对单体造成 180% 攻击的伤害并施加「斩标」持续 3 回合：目标受到的所有伤害 +20%，且斩标结束时若其生命低于 25% 则直接处决。
rushou_b,收割,0,对单体造成 115% 攻击的伤害；若目标生命低于 40%，此伤害必定暴击。
rushou_u,白藏·秋决,7,对敌方全体造成 200% 攻击的伤害，并对生命最低的三个单位追加一次必定暴击的 250% 攻击。若本次技能造成任何击杀，全队获得「秋决」满层，且本技能 CD 立刻减半。
taotie_a,贪食,3,吞噬敌方全体各 1 个增益，每吞噬 1 个，对全体造成 70% 攻击的伤害；若目标无增益可吞，改为对其造成 120% 攻击的伤害。
taotie_b,吞噬,0,对单体造成 105% 攻击的伤害，并吞噬其身上的 1 个增益，转化为自身 1 层「食」（攻击 +6%，上限 10 层）。
taotie_u,饕餮之口,7,对敌方生命值最低的单位造成 400% 攻击的伤害；若造成击杀，则本次技能 CD 立即重置，并额外吞噬全场所有增益，每吞 1 个恢复 15% 最大生命。可在一回合内连续触发。
