beastId,displayName,element,role,rarity,source,quote,lore,codex,traitName,traitDescription,bodyMainHex,bodyAccentHex,energyGlowHex,eyeCoreHex,outlineHex
baize,白泽,4,4,1,《云笈七签·轩辕本纪》,黄帝东巡至海，登桓山，于海滨得白泽神兽，能言，达于万物之情。……凡一千五百二十种。,能说话，通晓万物之情。黄帝东巡时在海边遇到它，问天下鬼神之事，它答了一万一千五百二十种。传说《白泽图》便是由此而来——一本记录所有怪物弱点的手册。,它知道一万一千五百二十种鬼，所以它从不害怕任何一个。,达万物之情,战斗开始时，揭露敌方全体的五行属性、携带技能与弱点（玩家可见）；我方全体对「已揭露」的敌人造成的伤害 +12%。我方单位每次暴击，全队获得 1 层「知」（暴击率 +3%，上限 8 层）。,#F0EFEA,#C9A063,#D6ECF0,#6B7B8C,#2A2118
bashe,巴蛇,5,5,2,《山海经·海内南经》,巴蛇食象，三岁而出其骨。君子服之，无心腹之疾。,能吞下一头象，三年后才把骨头吐出来。它的胃口不是靠身体大小决定的，而是靠时间——它有足够的时间去消化任何东西。,它不着急，三年对一条蛇来说不算长。,三岁,自身攻击对「体形大于自身」或「生命上限高于自身」的目标伤害 +40%；每次击杀目标，将目标最大生命的 15% 转化为自身永久生命上限（本局内累积）。,#424C56,#C9A063,#6B9FD4,#FFB03A,#2A2118
bifang,毕方,2,3,2,《山海经·西山经》,章莪之山，有鸟焉，其状如鹤，一足，赤文青质而白喙，名曰毕方，其鸣自叫也，见则其邑有讹火。,鹤形独足之鸟，青底红花，白喙。它出现的地方会莫名其妙地起火——不是它纵火，而是它本身就是一座行走的引信。古人讨厌它，因为它总能提前知道哪里要着火。,它叫的时候，屋子已经在冒烟了。,讹火,我方火属性单位造成伤害时，有 35% 概率为该目标附加 1 层灼烧并蔓延给其一个相邻格单位（相冲格不蔓延）。,#5D8A66,#E04B3A,#FF7A2F,#FFFFFF,#2A2118
chongming,重明鸟,2,4,1,《拾遗记》卷一,尧在位七十年……有祗支之国献重明之鸟，一名双睛，言双睛在目。状如鸡，鸣似凤。,鸡形凤声，双眼里各有一个眼珠，故名「重明」。它能驱鬼避邪，古人把它的形象贴在门上，代替老虎和雄鸡——这是最早的门神之一。,贴它一次，一年不出门也安心。,双睛,我方全体免疫「致盲」「致盲类」与「命中降低」效果；我方每次暴击，为全队回复 2% 最大生命（无 CD）。,#E9E4D8,#E04B3A,#FFD84D,#FF7A2F,#2A2118
dangkang,当康,3,4,1,《山海经·东山经》,钦山，有兽焉，其状如豚而有牙，其名曰当康，其鸣自叫，见则天下大穰。,像野猪而有獠牙，叫声是自己的名字。它出现的年份天下丰收。在灾年的传说里，它是唯一一个只带来好消息的异兽。,它一叫，田里的谷穗就自己低头了。,大穰,每回合结束时，我方全体获得 1 层「穰」（上限 6 层）；每层使我方全队的治疗与护盾效果 +5%。每场战斗中「穰」达到 6 层时，全队立刻回复 25% 最大生命。,#C9A88A,#E8C25B,#F0C239,#2A2118,#2A2118
dijiang,帝江,3,4,3,《山海经·西山经》,天山，有神焉，其状如黄囊，赤如丹火，六足四翼，浑敦无面目，是识歌舞，实惟帝江也。,像一只黄色的口袋，红得像丹火，六足四翼，没有五官——没有眼睛，没有耳朵，没有嘴。可它懂得歌舞。它不知道什么叫「看」，所以它知道什么叫「感」。,没有脸的神，看的是心。,无面目,自身免疫「致盲」「嘲讽」与「标记」；我方全体受到的混乱类效果有 50% 概率被反弹给施法者。,#E7A33E,#E04B3A,#FFB03A,#C8352C,#2A2118
feiyi,肥遗,2,2,2,《山海经·西山经》,太华之山，有蛇焉，名曰肥遗，六足四翼，见则天下大旱。,蛇身而有六足四翼，飞不起来但爬得极快。它出现的年份必有大旱。在本作里，它是「旱」的化形——它所在之处，水会自己离开。,它爬过的地方，土比石头还干。,大旱,自身获取怒气速度 +40%；敌方每有一个水属性单位，自身攻击力 +20%。自身攻击水属性单位时，伤害系数额外 +30%。,#D65A32,#F0C239,#FFB03A,#2A2118,#2A2118
fuzhu,夫诸,5,3,1,《山海经·中山经》,敖岸之山，……有兽焉，其状如白鹿而四角，名曰夫诸，见则其邑大水。,白鹿而有四角。它是温柔的神兽，出现的地方却总要发大水。古人把它归入「凶兆」，其实它只是水的信使——它来了，说明水已经在路上了。,它没有恶意。水也没有。,见则大水,战斗开始时，为全场添加 3 层「湿」；我方每次造成水属性伤害，会使敌方全体的「湿」层数 +1（上限 5 层，每层使其受水伤 +8%）。,#F0EFEA,#C8CFD3,#A8D8E8,#6B7B8C,#2A2118
guanguan,灌灌,1,4,2,《山海经·南山经》,青丘之山，有鸟焉，其状如鸠，其音若呵，名曰灌灌，佩之不惑。,鸠形的小鸟，鸣声像人在呵斥。青丘多幻术，唯灌灌的叫声能让人从幻境中清醒——古人把它的羽毛佩在身上，说可以「不惑」。,青丘的雾散不开，但灌灌一叫，人就知道自己刚刚站在哪里。,不惑,我方全体免疫「混乱」与「魅惑」；我方单位每成功抵抗一次控制，为其回复 10% 最大生命。,#A8B87A,#5D8A66,#BCE672,#2A2118,#2A2118
hanba,旱魃,2,3,1,《山海经·大荒北经》,有人衣青衣，名曰黄帝女魃。,黄帝之女，穿青衣。她本是用来止雨的兵器，战争结束后却再也回不去天上——她所居之处，终年不雨。民间称她为旱魃。,她不是灾祸，她只是回不去了。,所居不雨,自身在场时，全场所有治疗与回复效果降低 35%；敌方单位每被治疗一次，对其施加 2 层灼烧（治疗反噬）。,#C0A86B,#7A6A45,#FFB03A,#FF7A2F,#2A2118
houtu,后土,3,1,3,《山海经·海内经》《左传·昭公二十九年》,共工生后土。……共工氏有子曰句龙，为后土。,共工之子句龙，为后土，主土地与社稷。五行之中土居中央，寄旺于四季——所以后土不属于任何一个季节，却又在每一季的末尾现身。,土不与谁争，但谁都站在土上。,土旺四季,战斗开始时，自身根据当前季节获得对应强化：春（木）额外治疗 +30%；夏（火）反伤 +30%；秋（金）护盾 +30%；冬（水）减伤 +15%。自身站在中宫时，全部四项同时生效。,#B8862B,#E8C25B,#F0C239,#2A2118,#2A2118
hundun,混沌,3,3,2,《神异经·西荒经》,昆仑西有兽焉，其状如犬，长毛四足，似罴而无爪，有目而不见，行不开，有两耳而不闻……有肠直而不旋，食物径过。,像犬而长毛，有眼却看不见，有耳却听不见。它没有五脏，肠子笔直，吃下去的东西径直穿过。遇到有德之人就去顶撞他，遇到凶恶之徒就依附他。天生如此，不叫恶，叫无别。,它不分善恶，只是一个还没被命名之前的答案。,无别,自身造成的伤害无视敌我关系——所有伤害性技能会以自身为中心波及全场。自身受到的伤害降低 25%（因为它根本不知道自己被打）。,#A89678,#6B6157,#C9A063,#2A2118,#2A2118
jiuweihu,九尾狐,1,2,3,《山海经·南山经》,青丘之山，有兽焉，其状如狐而九尾，其音如婴儿，能食人，食者不蛊。,青丘之山的主人。九条尾并非装饰——每一条尾都是一世修行，尾巴越多，能调动的「惑」就越浓。它的声音像婴儿啼哭，听见的人会不由自主地往前走。,九尾不是战力，是九世的耐心。它从不着急，急的是走进青丘的人。,九尾递进,每回合开始时，自身获得 1 层「尾」（上限 9 层）。每层使普攻额外附加一段 12% 攻击的伤害。受到致命伤害时，消耗全部层数，每层回复 8% 最大生命。,#E9E4D8,#C9A063,#F0C239,#C8352C,#2A2118
jumang,句芒,1,4,3,《山海经·海外东经》,东方句芒，鸟身人面，乘两龙。,东方之神，司春与草木。鸟身人面，两足踏龙，所过之处冻土生芽。传说他能把断裂的枝条接回原处，也能把将熄的命火重新吹旺——但这需要他付出自己的元气。,立春之日，东风解冻。冻土之下最先醒来的不是草芽，是句芒踩过的脚印。,春生不息,我方任意单位首次阵亡时，不进入死亡状态，而是以 40% 生命复活并驱散其全部减益，同时该单位获得 2 回合「无我」（免疫所有控制）。每场战斗限触发 1 次。,#789262,#BCE672,#A8D96B,#F0C239,#2A2118
lushu,鹿蜀,1,4,1,《山海经·南山经》,杻阳之山，有兽焉，其状如马而白首，其文如虎而赤尾，其音如谣，其名曰鹿蜀，佩之宜子孙。,马身白首，身有虎纹，拖着一条赤红的尾。它不伤人，只是站着唱歌，歌声像民谣一样好听。古人佩它的毛发，说能保佑子嗣繁衍——在本作里，它保佑的是队伍的延续。,它唱歌的时候，整座杻阳山都在照料后代。,宜子孙,我方的治疗与护盾效果溢出时，溢出量的 40% 会转移给生命最低的另一名队友（可连锁 1 次）。,#E9E4D8,#C8352C,#A8D96B,#3A3A3A,#2A2118
